GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,com.dragonboat.game,DifficultyScreen,172,0,0,0,38,0,8,0,8,0
core,com.dragonboat.game,GameScreen.new InputAdapter() {...},20,0,0,0,4,0,2,0,2,0
core,com.dragonboat.game,GameScreen.new InputAdapter() {...},20,0,0,0,4,0,2,0,2,0
core,com.dragonboat.game,MenuScreen,66,0,0,0,22,0,8,0,8,0
core,com.dragonboat.game,PauseMenu.new ChangeListener() {...},20,0,0,0,4,0,2,0,2,0
core,com.dragonboat.game,ProgressBar,71,97,1,9,12,22,8,9,7,5
core,com.dragonboat.game,Obstacle,6,47,0,0,2,17,2,7,2,7
core,com.dragonboat.game,DragonBoatGame,812,0,46,0,133,0,32,0,8,0
core,com.dragonboat.game,PauseMenu.new ChangeListener() {...},9,0,0,0,3,0,2,0,2,0
core,com.dragonboat.game,DifficultyScreen.new ChangeListener() {...},22,0,0,0,4,0,2,0,2,0
core,com.dragonboat.game,DifficultyScreen.new ChangeListener() {...},22,0,0,0,4,0,2,0,2,0
core,com.dragonboat.game,Leaderboard.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
core,com.dragonboat.game,Leaderboard,17,98,2,4,4,21,4,7,2,6
core,com.dragonboat.game,DifficultyScreen.new ChangeListener() {...},22,0,0,0,4,0,2,0,2,0
core,com.dragonboat.game,Log,0,11,0,0,0,2,0,1,0,1
core,com.dragonboat.game,Boat,284,483,7,31,37,82,24,34,19,20
core,com.dragonboat.game,MenuScreen.new InputAdapter() {...},232,0,32,0,38,0,18,0,2,0
core,com.dragonboat.game,Opponent,421,17,70,0,87,4,37,1,2,1
core,com.dragonboat.game,Player,59,9,8,0,16,2,6,1,2,1
core,com.dragonboat.game,SaveGameScreen,259,0,0,0,53,0,8,0,8,0
core,com.dragonboat.game,GameScreen,1757,0,130,0,252,0,73,0,8,0
core,com.dragonboat.game,Lane,38,100,3,7,10,24,5,7,2,5
core,com.dragonboat.game,PauseMenu,70,0,0,0,13,0,2,0,2,0
core,com.dragonboat.game,Goose,2,179,3,17,1,27,3,10,0,3
core,com.dragonboat.game,SaveGameScreen.new ChangeListener() {...},10,0,0,0,3,0,2,0,2,0
core,com.dragonboat.game,SaveGameScreen.new ChangeListener() {...},10,0,0,0,3,0,2,0,2,0
core,com.dragonboat.game,SaveGameScreen.new ChangeListener() {...},10,0,0,0,3,0,2,0,2,0
core,com.dragonboat.game,SaveGameScreen.new ChangeListener() {...},10,0,0,0,3,0,2,0,2,0
core,com.dragonboat.game,SaveGameScreen.new ChangeListener() {...},10,0,0,0,3,0,2,0,2,0
core,com.dragonboat.game,Course,23,0,0,0,8,0,3,0,3,0
core,com.dragonboat.game,SaveGameScreen.new ChangeListener() {...},10,0,0,0,3,0,2,0,2,0
